Date,EURCHF,LogRet,IsJump
1/4/2010,1.4838,0.000809062,0
1/5/2010,1.485,0.000808407,0
1/6/2010,1.4807,-0.002899823,0
1/7/2010,1.4796,-0.000743168,0
1/8/2010,1.4748,-0.003249394,0
1/11/2010,1.4746,-0.000135621,0
1/12/2010,1.4747,6.78E-05,0
1/13/2010,1.4766,0.001287568,0
1/14/2010,1.4767,6.77E-05,0
1/15/2010,1.4759,-0.000541895,0
1/19/2010,1.4752,-0.000474399,0
1/20/2010,1.4721,-0.002103621,0
1/21/2010,1.468,-0.002789023,0
1/22/2010,1.4718,0.002585211,0
1/25/2010,1.4704,-0.000951669,0
1/26/2010,1.4722,0.001223408,0
1/27/2010,1.4718,-0.000271739,0
1/28/2010,1.4693,-0.001700045,0
1/29/2010,1.4705,0.000816382,0
2/1/2010,1.4706,6.80E-05,0
2/2/2010,1.4729,0.001562766,0
2/3/2010,1.4711,-0.001222826,0
2/4/2010,1.4644,-0.004564818,0
2/5/2010,1.4668,0.001637555,0
2/8/2010,1.4643,-0.001705845,0
2/9/2010,1.4673,0.002046665,0
2/10/2010,1.4661,-0.000818163,0
2/11/2010,1.4654,-0.000477571,0
2/12/2010,1.4658,0.000272926,0
2/16/2010,1.4677,0.001295381,0
2/17/2010,1.4664,-0.000886132,0
2/18/2010,1.4663,-6.82E-05,0
2/19/2010,1.4644,-0.001296619,0
2/22/2010,1.463,-0.00095648,0
2/23/2010,1.4632,0.000136696,0
2/24/2010,1.463,-0.000136696,0
2/25/2010,1.463,0,0
2/26/2010,1.4627,-0.000205079,0
3/1/2010,1.4628,6.84E-05,0
3/2/2010,1.4626,-0.000136733,0
3/3/2010,1.4622,-0.000273523,0
3/4/2010,1.4622,0,0
3/5/2010,1.463,0.000546971,0
3/8/2010,1.463,0,0
3/9/2010,1.4621,-0.000615364,0
3/10/2010,1.4608,-0.000889528,0
3/11/2010,1.4616,0.000547495,0
3/12/2010,1.4563,-0.003632754,0
3/15/2010,1.452,-0.002957056,0
3/16/2010,1.4517,-0.000206633,0
3/17/2010,1.448,-0.00255199,0
3/18/2010,1.4395,-0.005887463,0
3/19/2010,1.4355,-0.00278261,0
3/22/2010,1.4342,-0.000906018,0
3/23/2010,1.4273,-0.004822655,0
3/24/2010,1.4279,0.000420286,0
3/25/2010,1.4255,-0.001682204,0
3/26/2010,1.4279,0.001682204,0
3/29/2010,1.4322,0.00300689,0
3/30/2010,1.4303,-0.001327511,0
3/31/2010,1.4234,-0.004835837,0
4/1/2010,1.4319,0.005953858,0
4/5/2010,1.4321,0.000139665,0
4/6/2010,1.4319,-0.000139665,0
4/7/2010,1.4324,0.000349125,0
4/8/2010,1.433,0.00041879,0
4/9/2010,1.4375,0.003135345,0
4/12/2010,1.4394,0.001320866,0
4/13/2010,1.4349,-0.0031312,0
4/14/2010,1.4357,0.000557375,0
4/15/2010,1.4337,-0.00139402,0
4/16/2010,1.4317,-0.001395966,0
4/19/2010,1.4333,0.001116929,0
4/20/2010,1.4356,0.001603402,0
4/21/2010,1.4328,-0.001952309,0
4/22/2010,1.4322,-0.000418848,0
4/23/2010,1.4352,0.002092489,0
4/26/2010,1.4347,-0.000348444,0
4/27/2010,1.4323,-0.001674224,0
4/28/2010,1.4332,0.000628163,0
4/29/2010,1.4332,0,0
4/30/2010,1.4323,-0.000628163,0
5/3/2010,1.4319,-0.00027931,0
5/4/2010,1.4319,0,0
5/5/2010,1.4319,0,0
5/6/2010,1.4057,-0.018466834,0
5/7/2010,1.4131,0.005250473,0
5/10/2010,1.4191,0.004236995,0
5/11/2010,1.4049,-0.010056742,0
5/12/2010,1.4018,-0.002209001,0
5/13/2010,1.4001,-0.001213462,0
5/14/2010,1.4005,0.000285653,0
5/17/2010,1.4018,0.000927809,0
5/18/2010,1.4,-0.001284888,0
5/19/2010,1.4282,0.019942674,0
5/20/2010,1.435,0.004749939,0
5/21/2010,1.4447,0.006736838,0
5/24/2010,1.4323,-0.008620144,0
5/25/2010,1.428,-0.00300668,0
5/26/2010,1.4113,-0.011763598,0
5/27/2010,1.4229,0.008185777,0
5/28/2010,1.4215,-0.00098439,0
6/1/2010,1.4135,-0.005643754,0
6/2/2010,1.4137,0.000141483,0
6/3/2010,1.4065,-0.005106032,0
6/4/2010,1.3921,-0.010290951,0
6/7/2010,1.3858,-0.004535808,0
6/8/2010,1.3786,-0.005209099,0
6/9/2010,1.376,-0.001887752,0
6/10/2010,1.3836,0.005508059,0
6/11/2010,1.3911,0.005406003,0
6/14/2010,1.3948,0.002656235,0
6/15/2010,1.397,0.001576044,0
6/16/2010,1.3913,-0.004088518,0
6/17/2010,1.3749,-0.011857561,0
6/18/2010,1.3724,-0.001819969,0
6/21/2010,1.3686,-0.002772712,0
6/22/2010,1.3581,-0.007701655,0
6/23/2010,1.3598,0.001250966,0
6/24/2010,1.3587,-0.00080927,0
6/25/2010,1.352,-0.004943383,0
